article_uuid,journal_issn,journal_title,journal_scimago_score,journal_scimago_hindex,journal_scimago_quartile
92,1347-4820,Circulation journal : official journal of the Japanese Circulation Society,0.926,113,Q1
94,0190-535X,Oncology nursing forum,0.507,91,Q3
95,1473-0502,Transfusion and apheresis science : official journal of the World Apheresis Association : official journal of the European Society for Haemapheresis,0.583,57,Q3
101,0005-7967,Behaviour research and therapy,2.022,196,Q1
102,0003-6072,Antonie van Leeuwenhoek,0.497,111,Q3
104,1476-4687,Nature,17.897,1276,Q1
105,0090-3493,Critical care medicine,2.689,282,Q1
107,1879-1514,"Aquatic toxicology (Amsterdam, Netherlands)",1.119,150,Q1
108,0020-7128,International journal of biometeorology,0.801,98,Q1
109,1470-0328,BJOG : an international journal of obstetrics and gynaecology,2.449,170,Q1
111,1360-7863,Aging & mental health,0.994,96,Q1
112,0001-6314,Acta neurologica Scandinavica,0.874,100,Q1
113,0807-7096,"Tidsskrift for den Norske laegeforening : tidsskrift for praktisk medicin, ny raekke",0.165,31,Q4
114,0003-2700,Analytical chemistry,1.791,343,Q1
115,1559-128X,Applied optics,0.581,203,Q2
116,1526-632X,Neurology,2.587,378,Q1
117,0077-8923,Annals of the New York Academy of Sciences,1.52,261,Q1
119,0165-0270,Journal of neuroscience methods,0.754,160,Q3
120,0006-2960,Biochemistry,1.19,260,Q1
121,0022-3395,The Journal of parasitology,0.421,96,Q3
123,1423-0143,Kidney & blood pressure research,0.707,56,Q2
124,1421-9778,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",1.076,97,Q2
126,2152-2669,"Clinical lymphoma, myeloma & leukemia",0.778,56,Q2
127,1473-5598,Journal of hypertension,1.107,178,Q1
128,1873-5711,Journal of electromyography and kinesiology : official journal of the International Society of Electrophysiological Kinesiology,0.63,104,Q2
129,1421-9662,Acta haematologica,0.518,58,Q2
130,2047-3877,International journal of developmental disabilities,0.504,23,Q3
131,2470-0053,Physical review. E,0.847,307,Q1
132,0214-9915,Psicothema,1.018,70,Q1
134,0017-5749,Gut,7.885,311,Q1
135,1523-7060,Organic letters,1.669,246,Q1
136,1468-2079,The British journal of ophthalmology,1.8,162,Q1
137,1940-6215,"Cancer prevention research (Philadelphia, Pa.)",0.996,98,Q1
138,1543-4508,Learning & behavior,0.455,59,Q3
139,2374-4243,"Infectious diseases (London, England)",0.799,75,Q2
140,1756-1833,BMJ (Clinical research ed.),2.291,453,Q1
141,1988-2904,The Spanish journal of psychology,0.391,48,Q1
142,2629-3277,Stem cell reviews and reports,1.078,77,Q2
143,1060-3271,Journal of AOAC International,0.457,90,Q2
144,0899-823X,Infection control and hospital epidemiology,1.101,141,Q2
145,0002-9645,American journal of veterinary research,0.436,94,Q2
146,0179-7158,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],0.915,72,Q1
147,0945-6317,Virchows Archiv : an international journal of pathology,1.184,101,Q1
148,0031-1820,Parasitology,0.736,119,Q1
149,0300-8428,Basic research in cardiology,1.615,100,Q1
150,1872-7484,Autonomic neuroscience : basic & clinical,0.721,86,Q2
151,1432-1440,"Journal of molecular medicine (Berlin, Germany)",1.306,146,Q1
152,1432-184X,Microbial ecology,0.922,134,Q1
153,1744-8360,Expert review of neurotherapeutics,1.02,85,Q1
154,1432-041X,Development genes and evolution,0.534,78,Q3
155,1869-1889,Science China. Life sciences,1.403,60,Q1
156,0954-7894,Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology,1.252,158,Q2
157,1098-2361,Zoo biology,0.423,58,Q2
158,1365-2214,"Child: care, health and development",0.816,87,Q1
159,0021-924X,Journal of biochemistry,0.877,120,Q1
160,0003-1348,The American surgeon,0.293,95,Q3
161,0002-9610,American journal of surgery,0.87,159,Q1
162,2173-9110,Revista espanola de salud publica,0.271,37,Q3
163,1438-3276,MMW Fortschritte der Medizin,0.113,14,Q4
164,0140-6736,"Lancet (London, England)",15.652,807,Q1
165,1464-4096,BJU international,1.472,154,Q1
166,1328-8067,Pediatrics international : official journal of the Japan Pediatric Society,0.415,65,Q2
167,0253-3766,Zhonghua zhong liu za zhi [Chinese journal of oncology],0.302,26,Q3
168,1660-9379,Revue medicale suisse,0.132,18,Q4
170,1175-5334,Zootaxa,0.557,92,Q2
171,1463-9084,Physical chemistry chemical physics : PCCP,0.899,256,Q1
177,1877-783X,Cancer epidemiology,0.957,79,Q2
180,1757-790X,BMJ case reports,0.23,31,Q4
181,1791-2431,Oncology reports,0.812,101,Q2
183,1002-1892,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,0.131,14,Q4
184,0840-4704,Healthcare management forum,0.352,17,Q3
185,0953-8194,Journal of neuroendocrinology,0.97,120,Q2
186,0028-3878,Neurology,2.587,378,Q1
187,1873-4898,Journal of pediatric urology,0.549,49,Q2
188,1878-4321,Women's health issues : official publication of the Jacobs Institute of Women's Health,1.005,63,Q1
189,1873-5800,The Knee,0.728,83,Q2
190,0021-9258,The Journal of biological chemistry,1.871,528,Q1
191,1873-2615,Trends in cardiovascular medicine,1.785,102,Q1
192,1573-2509,Schizophrenia research,1.451,185,Q1
193,1618-0631,"Pathology, research and practice",0.637,62,Q2
196,1462-0324,"Rheumatology (Oxford, England)",1.563,181,Q1
197,0042-8787,"Voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury",0.111,7,Q4
198,1460-2431,Journal of experimental botany,1.913,258,Q1
199,1550-9109,Sleep,1.518,219,Q1
200,1535-2900,American journal of health-system pharmacy : AJHP : official journal of the American Society of Health-System Pharmacists,0.483,99,Q1
